Date,Open,High,Low,Close,Volume,Name
2008-01-01,1000,1000,986,991.55,183163,MARUTI
2008-01-02,1005,1009.95,978.6,997.05,351365,MARUTI
2008-01-03,999,999,969.95,973.2,455664,MARUTI
2008-01-04,975,982.5,959,964.15,798963,MARUTI
2008-01-07,952,970,952,963.75,683162,MARUTI
2008-01-08,965,970,936,939.8,644368,MARUTI
2008-01-09,944.9,1055,912.5,924.75,601337,MARUTI
2008-01-10,931,941.75,905.05,909.2,510754,MARUTI
2008-01-11,927,927,888,899.7,857643,MARUTI
2008-01-14,899.7,909,840,863.45,698561,MARUTI
2008-01-15,873.95,881.35,852,871.35,1000759,MARUTI
2008-01-16,868,868,827,847.7,558884,MARUTI
2008-01-17,855,894.9,842.15,864.8,602636,MARUTI
2008-01-18,860,865.55,835.1,842,444882,MARUTI
2008-01-21,824,834.5,755.05,803.2,614102,MARUTI
2008-01-22,780,840,700,807.05,949563,MARUTI
2008-01-23,835,859,785,826.15,777635,MARUTI
2008-01-24,850,850,761,788.75,1045605,MARUTI
2008-01-25,823,845,794,833.7,563334,MARUTI
2008-01-28,775.05,874,775.05,864.7,358055,MARUTI
2008-01-29,870,881,816.3,863,739339,MARUTI
2008-01-30,870,870,833,844.9,462356,MARUTI
2008-01-31,843,864.8,825,850.2,702863,MARUTI
2008-02-01,833.15,918,826,905.75,425624,MARUTI
2008-02-04,920,923.9,891.2,897.35,773011,MARUTI
2008-02-05,912,920,869,872.6,296903,MARUTI
2008-02-06,855.1,860,827,832.25,400676,MARUTI
2008-02-07,845,845,790,800,549229,MARUTI
2008-02-08,802,814,780.1,805.75,588532,MARUTI
2008-02-11,805.75,850,775,813.35,467655,MARUTI
2008-02-12,815.4,827,796.25,807.7,313845,MARUTI
2008-02-13,812,824.95,802.15,817.25,394845,MARUTI
2008-02-14,821.1,845,820,829.2,245041,MARUTI
2008-02-15,825,829,805,812.45,658133,MARUTI
2008-02-18,830,830,801,806.2,212449,MARUTI
2008-02-19,813,819,805.15,809.4,394126,MARUTI
2008-02-20,808,808,763,769.7,750169,MARUTI
2008-02-21,777,790,754.45,763.15,631746,MARUTI
2008-02-22,765,774.8,750.1,766.35,599096,MARUTI
2008-02-25,775,805.5,768.25,800.55,623552,MARUTI
2008-02-26,811.3,816,791,813.3,349139,MARUTI
2008-02-27,815,840,815,832.9,678206,MARUTI
2008-02-28,830,843,816.7,837.15,517893,MARUTI
2008-02-29,830,875,825,868.2,1698908,MARUTI
2008-03-03,859.7,909,847.5,872.65,1827854,MARUTI
2008-03-04,875,915,875,904.55,1388510,MARUTI
2008-03-05,907,944.5,902,940.2,1504357,MARUTI
2008-03-07,921.25,938.1,873.55,927.85,1553921,MARUTI
2008-03-10,919,938,883,895.05,1362924,MARUTI
2008-03-11,885,892,852,866.65,846194,MARUTI
2008-03-12,876,884.9,851.1,857.4,965824,MARUTI
2008-03-13,850,874.9,806,840.35,797094,MARUTI
2008-03-14,840,849.8,805,832.7,652894,MARUTI
2008-03-17,810,829.9,800,806.55,361660,MARUTI
2008-03-18,810,824.85,805.15,813.35,446490,MARUTI
2008-03-19,830,836.25,801.6,822.45,649083,MARUTI
2008-03-24,863.55,863.55,790,810.2,505100,MARUTI
2008-03-25,825,863.95,816,843.85,747210,MARUTI
2008-03-26,850,856,835.05,845.6,699173,MARUTI
2008-03-27,840.25,848.5,831,838.3,557454,MARUTI
2008-03-28,834.75,855,822,837.8,519840,MARUTI
2008-03-31,840,840,811,827,685949,MARUTI
2008-04-01,840,855,807.55,815.75,454500,MARUTI
2008-04-02,829,849,805.5,810.65,243586,MARUTI
2008-04-03,818.85,819.7,775,786.9,760056,MARUTI
2008-04-04,790.2,792,761.15,764.6,475666,MARUTI
2008-04-07,768,769.9,738.05,759.65,917326,MARUTI
2008-04-08,765,765,740.1,744.65,550601,MARUTI
2008-04-09,745,745,725.1,733.65,786701,MARUTI
2008-04-10,736,748.85,730,737.9,685402,MARUTI
2008-04-11,745,747.9,730.5,739.15,300751,MARUTI
2008-04-15,739.15,759.9,727.6,756.3,241386,MARUTI
2008-04-16,765,765,751.3,756.1,393856,MARUTI
2008-04-17,761,766.5,753,760.5,282042,MARUTI
2008-04-21,750,783.5,725,768.3,354947,MARUTI
2008-04-22,765,769,753.6,757.85,283323,MARUTI
2008-04-23,757.85,769.9,754.25,765.05,446646,MARUTI
2008-04-24,775.8,777,726.55,747.05,2313324,MARUTI
2008-04-25,732,754,732,737.95,856302,MARUTI
2008-04-28,737.95,749,720.2,722.35,1017479,MARUTI
2008-04-29,720,736.7,720,731.15,782363,MARUTI
2008-04-30,734.9,749,730,742.1,927579,MARUTI
2008-05-02,751.1,791.9,751.1,787.9,1868089,MARUTI
2008-05-05,793,809.9,780.3,784.4,1035578,MARUTI
2008-05-06,788,788,757.55,766.7,814237,MARUTI
2008-05-07,770,777.8,759.05,775.65,438190,MARUTI
2008-05-08,768.9,774,761.5,770.55,593476,MARUTI
2008-05-09,766,770.8,758,764.9,1618381,MARUTI
2008-05-12,764.9,774.9,763,770.35,545987,MARUTI
2008-05-13,778,786,769,770.65,420798,MARUTI
2008-05-14,775,799.5,767.05,797.05,966247,MARUTI
2008-05-15,802.15,826.9,800,821.8,1156629,MARUTI
2008-05-16,831.95,831.95,816,821.1,453991,MARUTI
2008-05-20,830,835,810,814.65,1200269,MARUTI
2008-05-21,805,816,790,813.25,582101,MARUTI
2008-05-22,805,813,790.05,805.7,528468,MARUTI
2008-05-23,805,812.8,784.2,789.6,585070,MARUTI
2008-05-26,780,780.2,755.5,761.75,610536,MARUTI
2008-05-27,780.8,780.8,755.3,764.75,327631,MARUTI
2008-05-28,768,790,751.25,777.35,268473,MARUTI
2008-05-29,794.9,794.9,757.15,763,569959,MARUTI
