Date,Open,High,Low,Close,Volume,Symbol
2008-01-01,1020,1028,985.2,992.1,32522,ULTRACEMCO
2008-01-02,1002,1020,980.25,992.75,91538,ULTRACEMCO
2008-01-03,985.1,1005.5,984,987,23762,ULTRACEMCO
2008-01-04,980,1000,971.05,977.3,57422,ULTRACEMCO
2008-01-07,961,994.9,960,988.45,48616,ULTRACEMCO
2008-01-08,986,996.85,960,971.5,18391,ULTRACEMCO
2008-01-09,970,974,953.1,959.75,57853,ULTRACEMCO
2008-01-10,965,970,912,925.05,39125,ULTRACEMCO
2008-01-11,950,950,899,908.55,71673,ULTRACEMCO
2008-01-14,900.05,948,900.05,936.6,313138,ULTRACEMCO
2008-01-15,940,955,905.1,916.25,90812,ULTRACEMCO
2008-01-16,855,914,855,874.7,76376,ULTRACEMCO
2008-01-17,878,909.85,863,891.65,72626,ULTRACEMCO
2008-01-18,875,914.7,865,880.65,144166,ULTRACEMCO
2008-01-21,860,890,706.65,800.75,162034,ULTRACEMCO
2008-01-22,785,860,721,754.8,77946,ULTRACEMCO
2008-01-23,840,900,740,820.15,122373,ULTRACEMCO
2008-01-24,822,849.65,790,793.6,53542,ULTRACEMCO
2008-01-25,800,915.25,800,872.45,24715,ULTRACEMCO
2008-01-28,900,915,850,897.5,24252,ULTRACEMCO
2008-01-29,905,912,865.1,870.45,12130,ULTRACEMCO
2008-01-30,885,885,857.2,879.8,40067,ULTRACEMCO
2008-01-31,870,897,835,873.45,379974,ULTRACEMCO
2008-02-01,863.45,884,850,879.75,72335,ULTRACEMCO
2008-02-04,889.9,907,876,895.55,87825,ULTRACEMCO
2008-02-05,891.9,909,890,895.3,107799,ULTRACEMCO
2008-02-06,870,890,852,864.9,55928,ULTRACEMCO
2008-02-07,864.9,880,854,855,92124,ULTRACEMCO
2008-02-08,870,870,830,853.85,53597,ULTRACEMCO
2008-02-11,830,850,782.5,805.1,58247,ULTRACEMCO
2008-02-12,807,829,728.6,807.6,103432,ULTRACEMCO
2008-02-13,829,829,805.3,812.65,10338,ULTRACEMCO
2008-02-14,847.85,884.95,793.5,866.6,52401,ULTRACEMCO
2008-02-15,865,920,850,901.65,31971,ULTRACEMCO
2008-02-18,900,910,890,891.05,19176,ULTRACEMCO
2008-02-19,890.15,912,887.55,900.05,29097,ULTRACEMCO
2008-02-20,887,915,880,880.85,16931,ULTRACEMCO
2008-02-21,891,900,880,890.2,10285,ULTRACEMCO
2008-02-22,880,899.95,880,892.05,9438,ULTRACEMCO
2008-02-25,924,924,870.7,901.65,60799,ULTRACEMCO
2008-02-26,885,917.4,885,912,145224,ULTRACEMCO
2008-02-27,917,925.15,901.1,914.05,202368,ULTRACEMCO
2008-02-28,905,913,870.05,891.05,84433,ULTRACEMCO
2008-02-29,891.25,920,866.1,904.5,45921,ULTRACEMCO
2008-03-03,892,899.9,850,868.25,28687,ULTRACEMCO
2008-03-04,861,892,860.1,886.6,51444,ULTRACEMCO
2008-03-05,856,993,856,875.55,21373,ULTRACEMCO
2008-03-07,809,880,809,846.15,28480,ULTRACEMCO
2008-03-10,822.05,861.6,815.2,850.8,73250,ULTRACEMCO
